out_voltage(V rms),out_current(A rms),Efficiency 
0,0,0.8
0,50,0.8
0,100,0.8
0,150,0.8
0,200,0.8
0,250,0.8
0,300,0.8
50,0,0.8
50,50,0.89
50,100,0.9
50,150,0.91
50,200,0.91
50,250,0.92
50,300,0.92
100,0,0.8
100,50,0.94
100,100,0.945
100,150,0.945
100,200,0.945
100,250,0.945
100,300,0.948
150,0,0.8
150,50,0.95
150,100,0.96
150,150,0.965
150,200,0.965
150,250,0.97
150,300,0.97
200,0,0.8
200,50,0.97
200,100,0.97
200,150,0.975
200,200,0.975
200,250,0.975
200,300,0.975
250,0,0.8
250,50,0.975
250,100,0.98
250,150,0.98
250,200,0.98
250,250,0.981
250,300,0.982
300,0,0.8
300,50,0.98
300,100,0.982
300,150,0.983
300,200,0.984
300,250,0.984
300,300,0.985
